Toxin	ratio	DS
CRISP	1	Genome
KUN	1	Genome
CTL	1	Genome
3FTx	0.2	DB
3FTx	0.2	DBTR
3FTx	0.2	TR
PLA2	NA	DB
PLA2	1	DBTR
PLA2	1	TR
SVMP	NA	DB
SVMP	0.75	DBTR
SVMP	0.75	TR
NGF	1	DB
NGF	1	DBTR
NGF	0.5	TR
KUN	NA	DB
KUN	NA	DBTR
KUN	NA	TR
CNP	1	DB
CNP	2	DBTR
CNP	2	TR
CTL	NA	DB
CTL	NA	DBTR
CTL	NA	TR
CVF	1	DB
CVF	2	DBTR
CVF	2	TR
NUC	0.33	DB
NUC	0.66	DBTR
NUC	0.66	TR
SVSP	0.5	DB
SVSP	0.33	DBTR
SVSP	0.5	TR
HYAL	1	DB
HYAL	NA	DBTR
HYAL	1	TR
