Toxin	ratio	DS
VDPP	1	Genome
Secapin	1	Genome
Icarapin	1	Genome
HYAL	NA	DB
HYAL	1	DBTR
HYAL	1	TR
PLA2	2	DB
PLA2	2	DBTR
PLA2	2	TR
Melittin	NA	DB
Melittin	1	DBTR
Melittin	1	TR
VDPP	NA	DB
VDPP	NA	DBTR
VDPP	NA	TR
Secapin	0.5	DB
Secapin	1	DBTR
Secapin	1	TR
VA	0.1	DB
VA	0.2	DBTR
VA	0.2	TR
SP	0.5	DB
SP	0.75	DBTR
SP	0.75	TR
Icarapin	1	DB
Icarapin	1	DBTR
Icarapin	1	TR
VenomAllergen	0.66	DB
VenomAllergen	1	DBTR
VenomAllergen	0.66	TR
