Toxin	ratio	DS
SVMP	1	Genome
SVMP	0.2	DB
SVMP	0.83	DBTR
SVMP	0.83	TR
PLA2	0.5	DB
PLA2	1	DBTR
PLA2	0.83	TR
SVSP	0.83	DB
SVSP	1.16	DBTR
SVSP	1	TR
CTL	NA	DB
CTL	0.83	DBTR
CTL	0.83	TR
BPP	NA	DB
BPP	1	DBTR
BPP	1	TR
LAAO	1	DB
LAAO	1	DBTR
LAAO	1	TR
CRISP	0.5	DB
CRISP	1	DBTR
CRISP	1	TR
VEGF	NA	DB
VEGF	1	DBTR
VEGF	1	TR
NGF	1	DB
NGF	1	DBTR
NGF	1	TR
PLB	NA	DB
PLB	1	DBTR
PLB	1	TR
NUC	1	DB
NUC	1	DBTR
NUC	1	TR
HYAL	1	DB
HYAL	1.5	DBTR
HYAL	1	TR
