Toxin	ratio	DS
Melittin	1	Genome
Secapin	1	Genome
HYAL	NA	DB
HYAL	1	DBTR
HYAL	NA	TR
PLA2	2	DB
PLA2	2	DBTR
PLA2	2	TR
VDPP	1	DB
VDPP	1	DBTR
VDPP	1	TR
VA	0.23	DB
VA	0.17	DBTR
VA	0.17	TR
SP	0.22	DB
SP	0.22	DBTR
SP	0.15	TR
Icarapin	1	DB
Icarapin	1	DBTR
Icarapin	1	TR
VenomAllergen	0.70	DB
VenomAllergen	0.39	DBTR
VenomAllergen	0.39	TR
