Toxin	ratio	DS
HYAL	1	Genome
Secapin	1	Genome
Icarapin	1	Genome
HYAL	1	DB
HYAL	1	DBTR
HYAL	1	TR
PLA2	2	DB
PLA2	2	DBTR
PLA2	2	TR
Melittin	1	DB
Melittin	2	DBTR
Melittin	2	TR
VDPP	1	DB
VDPP	1	DBTR
VDPP	1	TR
VA	0.1	DB
VA	0.1	DBTR
VA	NA	TR
SP	0.375	DB
SP	0.5	DBTR
SP	0.5	TR
VenomAllergen	0.66	DB
VenomAllergen	0.66	DBTR
VenomAllergen	0.66	TR
