Toxin	ratio	DS
SVMP	1	Genome
VEGF	1	Genome
SVMP	0.5	DB
SVMP	0.83	DBTR
SVMP	0.83	TR
PLA2	0.3	DB
PLA2	1	DBTR
PLA2	0.3	TR
SVSP	0.93	DB
SVSP	0.93	DBTR
SVSP	0.93	TR
CTL	1.6	DB
CTL	2	DBTR
CTL	1	TR
BPP	1	DB
BPP	1	DBTR
BPP	NA	TR
LAAO	0.5	DB
LAAO	1	DBTR
LAAO	1	TR
CRISP	2	DB
CRISP	2	DBTR
CRISP	1	TR
VEGF	NA	DB
VEGF	NA	DBTR
VEGF	NA	TR
NGF	1	DB
NGF	1	DBTR
NGF	1	TR
PLB	1	DB
PLB	1	DBTR
PLB	1	TR
NUC	1	DB
NUC	1	DBTR
NUC	1	TR
HYAL	2	DB
HYAL	2	DBTR
HYAL	2	TR
