Toxin	ratio	DS
CRISP	1	Genome
3FTx	0.3	DB
3FTx	0.25	DBTR
3FTx	0.3	TR
PLA2	0.5	DB
PLA2	1.25	DBTR
PLA2	1	TR
SVMP	NA	DB
SVMP	0.75	DBTR
SVMP	0.75	TR
CRISP	NA	DB
CRISP	0.15	DBTR
CRISP	0.43	TR
NGF	1	DB
NGF	1	DBTR
NGF	1	TR
KUN	1	DB
KUN	2	DBTR
KUN	1.5	TR
CNP	1	DB
CNP	1	DBTR
CNP	2	TR
CTL	2	DB
CTL	2	DBTR
CTL	2	TR
CVF	0.33	DB
CVF	1	DBTR
CVF	0.66	TR
NUC	0.5	DB
NUC	1.5	DBTR
NUC	1.5	TR
SVSP	0.5	DB
SVSP	0.5	DBTR
SVSP	NA	TR
HYAL	NA	DB
HYAL	1	DBTR
HYAL	1	TR
