Toxin	ratio	DS
SVMP	1	Genome
SVMP	0.62962962962963	DB
SVMP	0.851851851851852	DBTR
SVMP	1.03703703703704	TR
PLA2	NA	DB
PLA2	1	DBTR
PLA2	1	TR
SVSP	0.666666666666667	DB
SVSP	0.666666666666667	DBTR
SVSP	0.5	TR
CTL	0.33	DB
CTL	0.33	DBTR
CTL	0.33	TR
BPP	1	DB
BPP	1	DBTR
BPP	NA	TR
LAAO	1	DB
LAAO	2	TRDB
LAAO	NA	TR
CRISP	1	DB
CRISP	1	DBTR
CRISP	NA	TR
VEGF	2	DB
VEGF	2	DBTR
VEGF	2	TR
NGF	2	DB
NGF	2	DBTR
NGF	2	TR
PLB	1	DB
PLB	1	DBTR
PLB	1	TR
NUC	2	DB
NUC	2	DBTR
NUC	2	TR
HYAL	2	DB
HYAL	2	DBTR
HYAL	2	TR
